WL          E.P.     loggf    ele      num    EWsun
6090.21     1.08     -0.154    VI     23.0     33.3 
6111.65     1.04     -0.802    VI     23.0     11.6 
6135.36     1.05     -0.887    VI     23.0      9.6 
6216.35     0.28     -0.910    VI     23.0     36.0 
6224.51     0.29     -1.936    VI     23.0      5.3 
6251.83     0.29     -1.431    VI     23.0     15.0 
6274.66     0.27     -1.751    VI     23.0      8.3 
6285.17     0.28     -1.674    VI     23.0      9.5 
4594.63     3.63     -0.281   CoI     27.0     12.5 
4792.86     3.25      0.833   CoI     27.0     32.7 
4813.48     3.22      1.498   CoI     27.0     45.9 
5301.05     1.71     -1.952   CoI     27.0     19.5 
5342.71     4.02      4.045   CoI     27.0     32.3 
5352.05     3.58      1.007   CoI     27.0     24.4 
5359.20     4.15      1.094   CoI     27.0      9.6 
5647.24     2.28     -1.593   CoI     27.0     14.0 
6814.95     1.96     -1.820   CoI     27.0     18.8 
4512.99     3.71     -1.466   NiI     28.0     19.4 
4811.99     3.66     -1.363   NiI     28.0     25.6 
4814.60     3.60     -1.670   NiI     28.0     16.7 
4913.98     3.74     -0.663   NiI     28.0     55.7 
4946.04     3.80     -1.224   NiI     28.0     26.2 
4952.29     3.61     -1.261   NiI     28.0     32.3 
4976.33     1.68     -3.001   NiI     28.0     37.7 
4995.66     3.63     -1.612   NiI     28.0     17.9 
5010.94     3.63     -0.902   NiI     28.0     48.8 
5081.11     3.85      1.154   NiI     28.0     93.5 
5094.41     3.83     -1.107   NiI     28.0     30.3 
5392.33     4.15     -1.354   NiI     28.0     12.0 
5435.86     1.99     -2.432   NiI     28.0     51.7 
5462.50     3.85     -0.881   NiI     28.0     41.0 
5578.72     1.68     -2.686   NiI     28.0     54.7 
5587.87     1.93     -2.480   NiI     28.0     52.9 
5589.36     3.90     -1.149   NiI     28.0     26.7 
5625.32     4.09     -0.731   NiI     28.0     37.8 
5628.35     4.09     -1.315   NiI     28.0     14.7 
5638.75     3.90     -1.701   NiI     28.0      9.8 
5641.88     4.11     -1.018   NiI     28.0     24.1 
5643.08     4.16     -1.234   NiI     28.0     15.1 
5682.20     4.10     -0.478   NiI     28.0     50.5 
5694.99     4.09     -0.628   NiI     28.0     43.1 
5748.36     1.68     -3.280   NiI     28.0     28.0 
5754.68     1.94     -1.977   NiI     28.0     76.3 
5805.22     4.17     -0.605   NiI     28.0     40.8 
5847.00     1.68     -3.410   NiI     28.0     23.0 
5996.73     4.24     -1.010   NiI     28.0     20.3 
6007.31     1.68     -3.367   NiI     28.0     25.1 
6086.29     4.27     -0.472   NiI     28.0     43.5 
6108.12     1.68     -2.513   NiI     28.0     65.0 
6111.08     4.09     -0.825   NiI     28.0     34.2 
6119.76     4.27     -1.319   NiI     28.0     10.9 
6128.98     1.68     -3.371   NiI     28.0     25.3 
6130.14     4.27     -0.937   NiI     28.0     22.1 
6175.37     4.09     -0.534   NiI     28.0     49.0 
6176.82     4.09     -0.268   NiI     28.0     63.7 
6177.25     1.83     -3.537   NiI     28.0     14.6 
6186.72     4.11     -0.889   NiI     28.0     30.5 
6204.61     4.09     -1.113   NiI     28.0     22.0 
6223.99     4.11     -0.954   NiI     28.0     27.7 
6230.10     4.11     -1.134   NiI     28.0     20.6 
6322.17     4.15     -1.165   NiI     28.0     18.4 
6327.60     1.68     -3.086   NiI     28.0     38.6 
6360.81     4.17     -1.145   NiI     28.0     18.5 
6378.26     4.15     -0.831   NiI     28.0     31.8 
6598.60     4.24     -0.914   NiI     28.0     24.9 
6635.13     4.42     -0.779   NiI     28.0     23.6 
6767.78     1.83     -2.135   NiI     28.0     79.2 
6772.32     3.66     -0.962   NiI     28.0     49.2 
6842.04     3.66     -1.496   NiI     28.0     24.2 
4523.40     3.65     -1.871   FeI     26.0     44.2 
4531.62     3.21     -1.803   FeI     26.0     66.4 
4537.67     3.27     -2.870   FeI     26.0     17.4 
4551.65     3.94     -1.930   FeI     26.0     29.1 
4554.46     2.87     -2.752   FeI     26.0     37.4 
4556.93     3.25     -2.644   FeI     26.0     26.3 
4561.41     2.76     -2.879   FeI     26.0     36.5 
4566.52     3.30     -2.158   FeI     26.0     46.2 
4574.22     3.21     -2.353   FeI     26.0     41.0 
4574.72     2.28     -2.823   FeI     26.0     59.6 
4579.33     2.83     -3.024   FeI     26.0     27.3 
4593.53     3.94     -1.923   FeI     26.0     29.5 
4596.41     3.65     -2.090   FeI     26.0     34.1 
4602.00     1.61     -3.165   FeI     26.0     72.2 
