WL          E.P.     loggf    ele      num    EWsun
6858.15     4.61     -0.972    Fe     26.0     51.6 
6861.94     2.42     -3.795    Fe     26.0     18.9 
6862.50     4.56     -1.437    Fe     26.0     29.9 
6864.32     4.56     -2.229    Fe     26.0      6.8 
6898.30     4.22     -2.133    Fe     26.0     15.9 
6911.52     2.42     -3.996    Fe     26.0     13.1 
6936.50     4.61     -2.175    Fe     26.0      6.9 
6945.21     2.42     -2.495    Fe     26.0     81.1 
6988.53     2.40     -3.454    Fe     26.0     34.1 
7000.62     4.14     -2.137    Fe     26.0     18.3 
7024.07     4.08     -1.955    Fe     26.0     27.6 
7083.40     4.91     -1.271    Fe     26.0     23.4 
7086.73     3.60     -2.513    Fe     26.0     23.8 
7090.39     4.23     -1.051    Fe     26.0     67.5 
7091.93     4.96     -1.415    Fe     26.0     16.6 
7107.46     4.19     -1.944    Fe     26.0     23.8 
7114.56     2.69     -3.973    Fe     26.0      8.2 
7127.57     4.99     -1.132    Fe     26.0     26.1 
7132.99     4.08     -1.629    Fe     26.0     43.5 
7151.47     2.48     -3.579    Fe     26.0     25.4 
7180.00     1.49     -4.748    Fe     26.0     18.8 
7190.13     3.11     -3.387    Fe     26.0     11.7 
7219.69     4.08     -1.575    Fe     26.0     46.6 
7221.21     4.56     -1.223    Fe     26.0     41.3 
7228.70     2.76     -3.302    Fe     26.0     25.6 
7284.84     4.14     -1.624    Fe     26.0     41.3 
7285.29     4.61     -1.485    Fe     26.0     26.6 
7306.57     4.18     -1.564    Fe     26.0     42.6 
7401.69     4.19     -1.595    Fe     26.0     40.7 
7418.67     4.14     -1.475    Fe     26.0     49.7 
7421.56     4.64     -1.699    Fe     26.0     17.7 
7445.76     4.26     -0.232    Fe     26.0    129.0 
7447.40     4.96     -1.006    Fe     26.0     34.0 
7447.91     5.52     -0.898    Fe     26.0     17.1 
7454.01     4.19     -2.291    Fe     26.0     13.1 
7461.53     2.56     -3.479    Fe     26.0     27.1 
7484.31     5.08     -1.581    Fe     26.0      9.9 
7491.65     4.30     -1.036    Fe     26.0     66.3 
7498.53     4.14     -2.152    Fe     26.0     18.7 
7507.27     4.42     -1.035    Fe     26.0     60.0 
7537.47     4.08     -2.816    Fe     26.0      5.6 
7540.44     2.73     -3.772    Fe     26.0     11.9 
7547.90     5.10     -1.180    Fe     26.0     20.9 
7563.02     4.83     -1.566    Fe     26.0     16.4 
7568.91     4.28     -0.883    Fe     26.0     77.0 
7582.12     4.96     -1.597    Fe     26.0     12.2 
7583.80     3.02     -1.940    Fe     26.0     83.4 
7586.03     4.31     -0.269    Fe     26.0    122.3 
7588.31     5.03     -1.064    Fe     26.0     28.5 
7710.37     4.22     -1.138    Fe     26.0     65.4 
7719.05     5.03     -1.064    Fe     26.0     28.7 
7723.21     2.28     -3.473    Fe     26.0     41.5 
7745.52     5.09     -1.199    Fe     26.0     20.8 
7746.60     5.06     -1.273    Fe     26.0     19.2 
7748.28     2.95     -1.732    Fe     26.0    101.0 
7751.12     4.99     -0.767    Fe     26.0     46.3 
7780.56     4.47     -0.165    Fe     26.0    121.4 
7802.48     5.09     -1.338    Fe     26.0     16.2 
7807.91     4.99     -0.556    Fe     26.0     59.2 
7844.56     4.83     -1.712    Fe     26.0     12.7 
7912.87     0.86     -4.791    Fe     26.0     48.5 
7941.10     3.27     -2.486    Fe     26.0     42.4 
7959.15     5.03     -1.219    Fe     26.0     22.6 
8047.62     0.86     -4.567    Fe     26.0     61.1 
8096.88     4.08     -1.818    Fe     26.0     36.7 
8207.75     4.45     -0.931    Fe     26.0     67.9 
8239.14     2.42     -3.322    Fe     26.0     44.1 
8248.14     4.37     -1.082    Fe     26.0     63.3 
8269.65     4.59     -1.876    Fe     26.0     15.2 
8293.53     3.30     -2.148    Fe     26.0     60.7 
8342.87     4.99     -1.350    Fe     26.0     20.1 
8365.65     3.25     -2.036    Fe     26.0     70.0 
8387.78     2.18   9998.331    Fe     26.0    177.1 
8424.15     4.96     -1.060    Fe     26.0     34.2 
8439.58     4.55     -0.711    Fe     26.0     77.5 
8471.75     4.96     -1.006    Fe     26.0     37.2 
8514.08     2.20     -2.311    Fe     26.0    115.9 
8515.12     3.02     -2.044    Fe     26.0     83.0 
8527.86     5.02     -1.554    Fe     26.0     13.2 
8571.81     5.01     -1.084    Fe     26.0     31.1 
8582.27     2.99     -2.173    Fe     26.0     77.6 
8607.08     5.01     -1.348    Fe     26.0     20.0 
8611.81     2.85     -1.946    Fe     26.0     99.7 
8613.94     4.99     -1.093    Fe     26.0     31.7 
8616.29     4.91     -0.937    Fe     26.0     44.0 
8621.61     2.95     -2.310    Fe     26.0     72.3 
8698.71     2.99     -3.394    Fe     26.0     17.2 
8699.46     4.96     -0.547    Fe     26.0     65.8 
8757.20     2.85     -2.049    Fe     26.0     94.2 
8763.98     4.65     -0.304    Fe     26.0    103.7 
8796.49     4.96     -1.201    Fe     26.0     28.5 
8816.89     4.99     -1.639    Fe     26.0     12.2 
8824.23     2.20     -1.741    Fe     26.0    172.4 
8834.02     4.22     -2.592    Fe     26.0      7.9 
8838.44     2.86     -2.000    Fe     26.0     97.3 
8846.75     5.01     -0.780    Fe     26.0     48.8 
8902.93     4.99     -1.859    Fe     26.0      7.8 
8906.00     5.06     -1.250    Fe     26.0     22.6 
8920.02     5.06     -0.505    Fe     26.0     63.9 
8922.66     4.99     -1.581    Fe     26.0     13.8 
8945.20     5.03     -0.385    Fe     26.0     74.1 
8950.20     4.15     -2.465    Fe     26.0     11.9 
8978.21     3.42     -3.363    Fe     26.0      8.1 
8984.89     5.10     -0.956    Fe     26.0     34.7 
3297.86     3.94     -1.390    Fe     26.1     72.1 
3503.47     1.72     -4.085    Fe     26.1     50.2 
3508.21     1.72     -4.181    Fe     26.1     47.1 
4002.08     2.78     -3.707    Fe     26.1     35.3 
4004.17     4.48     -3.051    Fe     26.1      9.5 
4122.66     2.58     -3.205    Fe     26.1     62.1 
4124.78     2.54     -4.027    Fe     26.1     31.8 
4128.74     2.58     -3.547    Fe     26.1     49.1 
4178.86     2.58     -2.607    Fe     26.1     86.9 
4183.19     2.64     -4.906    Fe     26.1      6.0 
4361.27     6.14     -0.715    Fe     26.1     35.0 
4413.60     2.68     -3.635    Fe     26.1     42.9 
4416.82     2.78     -2.513    Fe     26.1     84.9 
4489.18     2.83     -3.037    Fe     26.1     61.3 
4491.41     2.86     -2.596    Fe     26.1     78.3 
4508.28     2.86     -2.403    Fe     26.1     87.3 
4520.22     2.81     -2.565    Fe     26.1     81.9 
4522.63     2.84     -2.881    Fe     26.1     67.3 
4534.17     2.86     -3.205    Fe     26.1     53.7 
4541.52     2.86     -2.762    Fe     26.1     71.5 
4555.89     2.83     -2.364    Fe     26.1     91.0 
4576.34     2.84     -2.947    Fe     26.1     64.9 
4582.84     2.84     -3.078    Fe     26.1     59.7 
4620.51     2.83     -3.234    Fe     26.1     53.9 
4629.34     2.81     -2.264    Fe     26.1     97.9 
4656.98     2.89     -3.678    Fe     26.1     33.8 
4670.17     2.58     -4.011    Fe     26.1     32.0 
4731.47     2.89     -2.515    Fe     26.1     82.1 
4825.71     2.63     -4.706    Fe     26.1      9.6 
4923.93     2.89     -1.543    Fe     26.1    154.3 
4993.35     2.81     -3.622    Fe     26.1     39.6 
5000.73     2.78     -4.683    Fe     26.1      7.7 
5036.92     2.83     -3.946    Fe     26.1     26.1 
5132.67     2.81     -4.006    Fe     26.1     24.6 
5136.80     2.84     -4.335    Fe     26.1     13.6 
5197.57     3.23     -2.295    Fe     26.1     80.1 
5234.63     3.22     -2.237    Fe     26.1     83.5 
5256.94     2.89     -4.019    Fe     26.1     21.7 
5264.81     3.23     -3.091    Fe     26.1     45.6 
5284.11     2.89     -3.132    Fe     26.1     57.6 
5316.62     3.15     -2.019    Fe     26.1     99.0 
5316.78     3.22     -2.335    Fe     26.1     79.1 
5325.56     3.22     -3.194    Fe     26.1     41.8 
5337.75     3.23     -3.338    Fe     26.1     35.5 
5362.87     3.20     -2.638    Fe     26.1     66.4 
5414.07     3.22     -3.570    Fe     26.1     26.9 
5425.25     3.20     -3.234    Fe     26.1     41.1 
