WL          E.P.     loggf    ele      num    EWsun
5787.92     3.32     -0.225   CrI     24.0     46.0 
6330.13     0.94     -2.949   CrI     24.0     26.7 
6661.08     4.19     -0.266   CrI     24.0     12.0 
6882.52     3.44     -0.420   CrI     24.0     32.2 
4588.20     4.07     -0.850  CrII     24.1     68.5 
4592.05     4.07     -1.340  CrII     24.1     47.6 
4884.61     3.86     -2.141  CrII     24.1     23.4 
5670.85     1.08     -0.505    VI     23.0     18.8 
5703.59     1.05     -0.233    VI     23.0     30.9 
5727.05     1.08     -0.027    VI     23.0     39.3 
5737.07     1.06     -0.837    VI     23.0     10.4 
6039.73     1.06     -2.206    VI     32.0     12.5 
6081.45     1.05     -0.713    VI     23.0     14.1 
6090.21     1.08     -0.175    VI     23.0     33.3 
6111.65     1.04     -0.825    VI     23.0     11.6 
6135.36     1.05     -0.910    VI     23.0      9.6 
6216.35     0.28     -0.925    VI     23.0     36.0 
6224.51     0.29     -1.952    VI     23.0      5.3 
6251.83     0.29     -1.446    VI     23.0     15.0 
6274.66     0.27     -1.766    VI     23.0      8.3 
6285.17     0.28     -1.689    VI     23.0      9.5 
4594.63     3.63     -0.320   CoI     27.0     12.5 
4792.86     3.25     -0.123   CoI     27.0     32.7 
4813.48     3.22      0.127   CoI     27.0     45.9 
5301.05     1.71     -1.979   CoI     27.0     19.5 
5342.71     4.02      0.562   CoI     27.0     32.3 
5352.05     3.58     -0.034   CoI     27.0     24.4 
5359.20     4.15      0.003   CoI     27.0      9.6 
5647.24     2.28     -1.620   CoI     27.0     14.0 
6814.95     1.96     -1.842   CoI     27.0     18.8 
4512.99     3.71     -1.512   NiI     28.0     19.4 
4811.99     3.66     -1.408   NiI     28.0     25.6 
4814.60     3.60     -1.712   NiI     28.0     16.7 
4913.98     3.74     -0.723   NiI     28.0     55.7 
4946.04     3.80     -1.271   NiI     28.0     26.2 
4952.29     3.61     -1.309   NiI     28.0     32.3 
4976.33     1.68     -3.039   NiI     28.0     37.7 
4995.66     3.63     -1.655   NiI     28.0     17.9 
5010.94     3.63     -0.958   NiI     28.0     48.8 
5081.11     3.85     -0.018   NiI     28.0     93.5 
5094.41     3.83     -1.155   NiI     28.0     30.3 
5392.33     4.15     -1.396   NiI     28.0     12.0 
5435.86     1.99     -2.472   NiI     28.0     51.7 
5462.50     3.85     -0.927   NiI     28.0     41.0 
5578.72     1.68     -2.721   NiI     28.0     54.7 
5587.87     1.93     -2.515   NiI     28.0     52.9 
